Question Number,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Flag
781,94.   Incidence of TB in a community measured by:,Sputum smear +,Tuberculin test +,Sputum culture,"Mantoux test + 

[DNB December 2011]
[Recent Questions 2014]",,,
782,"95.   The  most  appropriate  test  to  assess  the  prevalence  of  
[DNB 2007]

tuberculosis infection in a community is:",Mass miniature radiography,Sputum examination,Tuberculin test,Clinical examination,,,
783,"96.   Mycobacterium  tuberculosis  infection  in  humans  is 
[Recent Question 2013]

most common because of:",Contact,Inhalation,Infiltration,Inoculation,,,
784,"97.   One of the following is known as Tuberculin Conver­
[NUPGET 2013]

sion Index:",Incidence of infection,Prevalence of infection,Incidence of disease,Prevalence of disease,,,
785,"98.   Xpert MTB/RIF test is used to detect: 

[PGI May 2013]",For assessing resistance to isoniazid,For assessing multi drug resistant TB,For assessing rifampicin resistance,Monitoring drug response in MDR TB,"Diagnosis of TB

295

mebooksfree.com

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,
786,"99.   TB multidrug regimen is given to: 

[Recent Question 2013]",Prevent resistance,Broad spectrum,Prevent side effects,,,,
787,"108.   According to WHO Guidelines, Latent TB investigation 
[AIIMS November 2015]

is not done in",Patient on TNF inhibitors,Silicosis,Chronic alcoholism,"Dialysis

i

l

i

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C",,,
788,"100.   Sputum positive TB is: 

[DNB June 2009]",1 out of 2 sputum sample +ve,2 out of 3 sputum sample +ve,BACTEC +ve,Mantoux test positive,,,
789,101.   Tuberculin positive means:,Immunodeficient patient,Resistance to tuberculin protein,Patient is infected with mycobacterium,"Patient is suffering from disease

[DNB June 2011]",,,
790,"102.   Sputum positive TB patients on chemotherapy should 
[Recent Question 2014]

be isolated at least for",2 weeks,3 weeks,4 weeks,6 weeks,,,
791,"103.   Contacts  of  Sputum  positive  tuberculosis  patient  who 

should be given preventive chemotherapy",Pregnant women,Old people,Children above 6 years,"Children below 6 years

[Recent Question 2014]",,,
792,"104.   Tuberculin test is a cheap and easily available test. In 
which of the following situations there is high failure 
in interpretation of result? 
[AIIMS PG May 2015]",Environmental mycobacterium infections are less,High prevalence of immunized people,High prevalence of disease,Lesser number of HIV positive cases,,,
793,"105.   What is true about TB in a diabetic? 

[Recent Question 2015]",Severity of TB increases,Incidence of TB increases,Course of TB disease changes,All of the above,,,
794,"106.   WHO defines Multi-drug resistant (MDR) Tuberculosis 
[UPSC CMS 2015]

strain as one that is",At least resistant to INH,At least resistant to Rifampicin,"Resistant  to  INH  and  Rifampicin  with  or  without  

resistant to other anti TB drugs",Resistant to Streptomycin only,,,
795,107.   TB Research Centre is located at [Recent Question 2015],Chennai,New Delhi,Bangalore,"Ahmedabad

296

Review Questions",,,
796,109.   Tuberculin unit is:,0.0001 mg,1 unit of PPD RT3,0.1 mg BCG,None of the above,,,
797,110.   By WHO best criteria for TB diagnosis is:,Sputum + ve,Chest pain,Cough – 3 weeks,"X-ray finding

[DNB 2003]

[Bihar 2005]
[DNB 2000]",,,
798,"111.   True about tuberculosis: 

[MP 2000]",>104 bacilli are required in sputum for detection,"Mantoux  test  can  differentiate  between  BCG  and  

infection",Can be grown on ordinary culture media,Drug sensitivity is tested by schick test,,,
799,"112.   In tuberculosis combination of Antimicrobials is used: 
[MP 2002]",To delay the development of resistance,To reduce toxicity,To Broaden anti-bacterial spectrum,To prevent Liberation of toxins from organisms,,,
800,"113.   Number  of  sputum  positive  cases  of  tuberculosis  per 
[MH 2000]

lakh in India is:",75,50,40,10,,,
801,"114.   BCG is: 

[MH 2002]",Live attenuated vaccine,Killed vaccine,Toxoid,Immunosuppressant agent,,,
802,"115.   1 mL of expectoration contains what minimum number 
[MH 2002]

of TB bacilli in an active case of TB?",100,"1,000","10,000","1,00,000",,,
803,"116.   In India, a tubercular mother is advised for all except:",Give baby BCG,ATT to mother,With hold Breastfeeding,"None of these

POLIOMYELITIS 

[RJ 2003]",,,
804,"117.   Which type of sample can be used to isolate poliovirus 
[AIIMS Nov 2004]

earliest?",Stool,,Serotype 3,Serotype 1 and 2,,,
805,118.   True about oral polio vaccine:,Poliomyelitis in recipients,Poliomyelitis in contact of recipient,Guillein  Barre syndrome,Vomiting and fever,,,
806,"119.   True about complete eradication of poliomyelitis from 
India is: 
[AIIMS PGMEE November 2013]","From 2012 onwards, no vaccine associated polio case 

has been detected","Last polio case in India was reported in 13 January 

2011",Mostly IPV is used currently,"India  is  the  only  country  which  is  not  able  to 

eliminate it completely",,,
807,"120.   Regarding poliovirus responsible for poliomyelitis all 
[DNB June 2010]

are true except:",Type 3 is most common is India,Type 1 is most common in India,Type 1 is responsible for most epidemics,Type 2 is eradicated worldwide,,,
808,"121.   For every clinical case of poliomyelitis subclinical cases 
[Recent Question 2013]
[UP 2005]

are:",500 in children and 75 in adults,500 in children and 25 in adults,250 in children and 25 in adults,1000 in children and 75 in adults,,,
809,"122.   Which of the following is not a type of Vaccine derived 
[AIIMS November 2014]

polio virus?",cVDPV,iVDPV,aVDPV,mVDPV,,,
810,123.   Polio virus is shed maximum in stool up to,6 weeks,8 weeks,10 weeks,"12 weeks

[Recent Question 2014]",,,
811,"127.   Which of the following is least suggestive of poliovirus 
infection? 
[UPSC CMS 2015]","Low grade fever and malaise with complete resolu-

tion in 2 to 3 days","Biphasic  illness  with  several  days  of  fever,  then  
meningeal symptoms and asymmetric flaccid paralysis 
5 to 10 days later","Descending  motor  paralysis  with  preservation  of 

tendon reflexes and absent sensation","Failure to isolate a virus from the CSF in the presence 

of marked meningismus 

Review Questions",,,
812,128.   Polio is due to:,Virus,Bacteria,"Protozoa 

[Bihar 2006]",Fungus,,,
813,"129.   Mg++ is used in OPV vaccine as:  

[Kolkata 2008]",Stabilizer,Adjuvant,Preservative,Vehicle,,,
814,"130.   Killed Vaccine of polio is: 

[RJ 2000]",Salk,Sabin,Both,,,,
815,131.   Wrong about polio patient who had paralysis:,"Most  predominant  polio  virus  during  epidemic  is 
[RJ 2006]

type I",Sub clinical infection common,Can transmit It by nasal discharge,Can be given vaccine,,,
816,132.   All are true about SALK vaccine except:,It prevents paralysis,Oral polio can be given as booster,It is contraindicated in immunocompromised patients,"Easily transported

[RJ 2009]",,,
817,"124.   Wild poliomyelitis is still endemic in

HEPATITIS",Sri Lanka,Pakistan,India,Afghanistan,"Nigeria

[PGI November 2014]",,
818,"125.   Incubation period of Vaccine associated paralytic polio­
[JIPMER 2015]

myelitis is",1-2 hours,1-3 days,7-10 years,4-30 days,,,
819,"133.   Which  of  the  following  is  not  transmitted  through 
[AIPGME 2003]

sexual route?",Hepatitis A,Hepatitis E,Both Hepatitis A and Hepatitis E,Hepatitis D,,,
820,"134.   Marker for infectivity of serum in Hepatitis B is: 

[AIIMS Nov 1993]",HBsAg,Anti HBc,HBe Ag,Anti HBc,,,
821,"126.   Which of the following serotypes of Polio virus is most 
commonly associated with vaccine associated paralytic 
poliomyelitis? 
[PGMCET 2015]",Serotype 1,Serotype 2,,,,,
822,"135.   Which of the Hepatitis B Virus serological marker indi­
cates the first evidence of Hepatitis B infection? 

[Karnataka 2009]",Anti-HBs,Anti-HBc,HBeAg,"HBsAg

297

mebooksfree.com

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
823,"136.   Which of the following is true about HCV screening? 

[PGI Dec 04]",Medical students are screened before their joining,IV drug abuser are prone to infection,Blood products taken before 1997 should be screened,Long term hemodialysis,Interferon is treatment,,
824,"137.   Hepatitis A true is:  

[PGI June 06]",Causes mild illness in children,3% incidence of carrier state,Sexual route common,10% transform into HCC,Vertical Transmission never seen,,
825,146.   Seen in Superinfection of HDV is [Recent Question 2015],"IgM Anti-HBc, IgM Anti-HDV","IgM Anti-HBs, HDVAg, IgM Anti-HDV, HDV RNA","IgM Anti-HBc, HDVAg, IgM Anti-HDV, HDV RNA","HDVAg, IgM Anti-HDV, HDV RNA",,,
826,"147.   Which of the following viral markers signifies the ongoing 

viral replication in the case of Hepatitis­B infection?  

[UPSC CMS 2015]",Anti-HBs,Anti-HBc,HBe Ag,HBs Ag,,,
827,"138.   Which  of 

the  following 

is/are  seen 

in  Acute 
[PGI May 2011]

Review Questions 

Hepatitis­B?",HBsAg,Anti-HBs,Anti-HBc,"HBeAg

i

i

l

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C",Anti-HBe,,
828,"139.   Both HBsAg and HBeAg are positive in: 

 [AIIMS PGMEE May 2013]
[AIIMS Nov 2014]",Acute infectious Hepatitis B,Chronic Hepatitis B,Recovery phase of Hepatitis B,Individuals vaccinated with Hepatitis B,,,
829,"140.   1955 Hepatitis outbreak is Delhi was: 

[Recent Question 2013]",A,B,C,E,,,
830,"141.   Isolation period of Hepatitis A: 

[DNB December 2011]",1 weeks,2 weeks,3 weeks,4 weeks,,,
831,142.   Acute Hepatitis B marker,HBsAg,Anti HBs,Anti HBc,HBeAg,Anti HBe,,
832,"143.   A mother is HBsAg positive at 32 weeks of pregnancy. 
What  should  be  given  to  the  newborn  to  prevent 
neonatal infection? 
[Recent Question 2013]",Hepatitis B vaccine + Immunoglobulin,Immunoglobulin only,Hepatitis B vaccine only,Immunoglobulin followed by vaccine 1 month later,,,
833,144.   Most important in diagnosing Acute Hepatitis B is,IgG Anti-HBc,IgM Anti-HBc,Anti HBs,"HBsAg

[AIIMS Nov 2014]",,,
834,"148.   Hepatitis A virus shedding in faeces is: 

[UP 2004]",One week before the symptoms appear,Two weeks after the symptoms appear,"Two  weeks  before  the  symptoms  and  two  week 

thereafter","One  week  before  the  symptoms  and  one  week 

thereafter",,,
835,149.   Epidemiological marker of Hepatitis–B is:,HBs Ag,Anti - HBs,Anti HBc,"HBe Ag

[UP 2008]",,,
836,"150.   Chances of Viral Hepatitis Type C becoming a chronic 
[MP 2009]

infection are:",10%,20%,30%,"50% or more

DIARRHEAL DISEASES (CHOLERA AND TYPHOID)",,,
837,"151.   The freshly prepared ORS (Oral Rehydration Solution) 
[AIPGME 1993]

should not be used after:",6 hours,12 hours,18 hours,24 hours,,,
838,"152.   A 5­year­old boy passed 18 loose stools in last 24 hours 
and  vomited  twice  in  last  4  hours.  He  is  irri  table  but 
drinking fluids. The optimal therapy for this child is:",Intravenous fluids,Oral rehydration therapy,"Intravenous  fluid  initially  for  4  hours  followed  by 

[AIPGME 2003]

oral fluids",Plain water add libitum,,,
839,"145.   A nurse was diagnosed to have HBeAg and HBsAg in 

serum. Most likely she is having",Chronic hepatitis B,HBV + HBE coinfection,Active and infectious Hepatitis B disease,"Recovery from Hepatitis B

[AIIMS November 2014]",,,
840,"153.   The  best  approach  to  prevent  cholera  epidemic  in  a 
[AIPGME 1992]

community is:",Mass chemoprophylaxis with tetracycline,Vaccination of all individuals,Health education,"Safe water and sanitation

298

mebooksfree.com

Review of Preventive and Social Medicine",,,
841,"154.   Which of the following is the drug of choice for chemo­

prophylaxis of cholera?",Tetracycline,Doxycycline,Furazolidone,"Co-trimoxazole

[AIIMS May 2005]
[UP 2004]
[Recent Question 2013]",,,
842,155.   The usual incubation period for typhoid fever is:,10-14 days,3-5 days,21-25 days,"Less then 3 days 

[AIIMS May 1994]
[Recent Question 2012]
[Recent Question 2013]",,,
843,"156.   The  drug  of  choice  for  treating  cholera  in  pregnant  
   [AIIMS Nov 2005]",,Doxycycline,,Cotrimoxazole,,,
844,"157.   The drug of choice for treating cholera in children is:

women is:",Tetracycline,Doxycycline,Furazolidone,"Cotrimoxazole

[AIIMS Nov 2005]
[UP 2004]

[AIIMS June 1997]",,,
845,158.   True about citrate in ORS:,Increases shelf life,Nutritious,Cheaper,Tastier,,,
846,"159.   The sodium content of ReSoMal (rehydration solution 
[AIPGME 2006]

for malnourished children) is:",90 mmol/L,60 mmol/L,45 mmol/L,30 mmol/L,,,
847,"160.   Which  one  of  the  following  gives  strong  evidence  of 

Typhoid Fever carrier status:",Isolation of Core antigen,Isolation of Vi antigen,Persistence of Vi antibodies,"Demonstration of Typhoid bacilli in stools 

[AIIMS Nov 2008]",,,
848,"161.   For controlling an outbreak of cholera, all of the follow­

ing measures are recommended except:",Mass chemoprophylaxis     [AIPGME-1992 and 2003],"Proper disposal of excreta 
[AIIMS 1991, 1997]",Chlorination of water,Early detection and management of cases,,,
849,"162.   Antibiotic treatment of choice for treating cholera in an 
[AIPGME 2005]

adult is a single dose of:",Tetracycline,Co-trimoxazole,Doxycycline,Furazolidone,,,
850,163.   A convalescent case of cholera remains infective for:,< 7 days,7-14 days,14-21 days,"21-28 days

[DPG 2005]",,,
851,"164.   Ringer lactate true is:  

[PGI Dec 07]",Cl– - 111,Na+ - 45,K+ - 5,Lactate – 29,Ca+2 - 5,,
852,"165.   A 12 kg child with diarrhoea, fluid to be replaced in first 
[Recent Question 2013]

4 hours:",0-400 ml,400-800 ml,800-1200 ml,1200-1600 ml,,,
853,"166.   Which is true of typhoid? 

[DNB 2008]",Female carriers are less common,Male carriers though less are more dangerous,Gall bladder usually not involved in carrier state,Tetracycline is the DOC for carriers,,,
854,167.   Persistent diarrhoea in infants:  [Recent Question 2013],7 days,14 days,21 days,1 month,,,
855,"168.   ORS should be discarded after: 

[DNB December 2011]",54 hours,6 hours,12 hours,24 hours,,,
856,169.   ORS contains 75 mmol/litre of:  [Recent Question 2013],Sodium,Potassium,Glucose,Chloride,,,
857,"170.   Dehydration  in  a  child  with  diarrhoea,  thirst  present, 
[Recent Question 2013]

tears absent is:",Mild,Moderate,Severe,,,,
858,"171.   Concentration  of  sodium  in  mMol/L  in  low  osmolar 
[DNB December 2011]

ORS is?",270,245,290,310,,,
859,"172.   New WHO ORS osmolarity is: 

[Recent Question 2012]
[PGMCET 2015]

 173.  ORS amount required in first 4 hours in a 1 year old case 
[Recent Question 2012]

of dehydration is:",200-400 ml,400-600 ml,600-800 ml,800-1200 ml,,,
860,"174.   Which of the following about the composition of new 
[DNB June 2009]

ORS is wrong:",NaCl– 2.6 grams/litre,KC1– 1.5 grams/litre,Glucose – 13.5 grams/litre,Total osmolarity – 300mmol/l,,,
861,175.   True of 8th Pandemic of Cholera,Started in Bangladesh,Originated in 2012,Due to O139 El Tor,Low attack rate,"Low proportion of adults in endemic regions

[PGI May 2014]",,
862,"176.   A village affected with epidemic of cholera, what is the 
1st step which should to be taken in village to decrease 
the death from cholera 
[Recent Question 2014]",Safe water supply and sanitation,Cholera vaccination to all individuals,Primary Chemoprophylaxis,"Treat everyone in the village’ with tetracycline

299

mebooksfree.com

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
863,"177.   Ratio of Sodium : Glucose in WHO Reduced Osmolar­
[JIPMER 2014]

ity ORS is",01:04,01:03,01:02,01:01,04:01,,
864,"178.   Mechanism  of  action  of  Cholera  toxin  is  through  
[Recent Question 2015]",Gangliosides,Adenyl cyclase,Gangliosides + Adenyl cyclase,Exotoxin,,,
865,"179.   Chemoprophylaxis is indicated in the following condi­
[UPSC CMS 2015]

tions except",Cholera,Meningococcal meningitis,Plague,"Typhoid 

Review Questions",,,
866,180.   Drug of choice for carriers of typhoid is:,Ampicillin,Chloramphenicol,Co-trimoxazole,"Clindamycin

[DNB  2002]",,,
867,"181.   Which is true of typhoid? 

[DNB 2008]",Female carriers are less common,Niridazole prevents transmission of the disease,"The  disease  is  limited  to  tropical  and  subtropical  

regions",No animal reservoir has been proved,,,
868,"187.   Chandlers Index is used in epidemiological studies of  
 [AIIMS Dec 1998 and Nov 1993]
[Recent Question 2013]
[UPSC CMS 2015]",Round worms,Hookworms,Guinea worms,Sand fly,,,
869,188.   Intermediate host for Hydatid disease is:,Man,Dog,Cat,"Fox

[AIIMS May 2009]",,,
870,"189.   Chandlers  index  for  Hookworm.  When  it  is  health 
[Recent Question 2013, 2014]

problem?",>300,>200,>100,>50,,,
871,190.    Chandler’s index is used for:,Ankylostoma duodenale,Ascaris lumbricoides,Strongyloides,"Trichuris trichiura

[DNB 2008]
[Recent Question 2014]",,,
872,"191.   Uses  of  Chandler’s  index  for  hookworm  include  all 
[AIIMS PGMEE 2014]

except:",Assessment of endemicity,Monitoring individual treatment,Monitoring mass treatment of coomunity,Comparison of worm load in different populations,,,
873,"192.    WHO considerations regarding Dracunculosis eradication, 
all are true except: 
[Recent Question 2014]",Drinking  piped  water  and  installation  of  hand,,,,,,
874,"182.   Typhoid oral vaccine is given: 

[UP 2008]

pumps","1, 3, 5 days","1, 2, 3 days","1, 2, 4 days","1, 7, 14 days",,,
875,183.   Isolation in patient with Salmonellosis is done:,Till fever subsides,Till Widal becomes negative,Till 3 stool test are negative,"For 48 hrs of Chloramphenicol treatment

[AP 2006]
[UP 2002]

Review Questions",,,
876,"193.    Guinea worm infestation is common in workers of:

 184.  Best disinfectant for cholera stools is: 

[MP 2000]",Step wells,Ponds,Fields,"Cotton mills

[DNB  2000]

i

i

l

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C",,,
877,"185.   In oral rehydration solution least amount in of: 

194.   According to Chandler’s index water containing 200­250",Safe,Mild pollution,Dangerous,"Public health problem

[UP 2001]",,,
878,"186.   All of the following statements regarding dracunculia­
[AIIMS Nov 2004]

sis are true except:","India has eliminated this disease

300",,,,,,
879,"195.   Dracunculiasis was more common in which of the fol­
[TN 2000]

lowing state?",Orissa,Rajasthan,Tamil Nadu,"U.P.

mebooksfree.com

Review of Preventive and Social Medicine",,,
880,"196.   Cysticercosis cellulosae causes infection with:  

 Taenia saginata",Taenia solium,"(c) 
 Echinococcus granulosus",,"Diphyllobothrium latum

[TN 2005]",,,
881,"197.   Chandler’s index is: 

[Recent Question 2014] [MP 2001]",No. of eggs of hook work in 100 gram soil [AP 2006],No. of eggs of hookworm in per gram soil,No. of eggs of hookworm in per gram stool,"Percentage  of  stool  specimens  positive  for  hook-

worms

DENGUE",,,
882,"198.   Dengue shock syndrome is characterized by the follow­
[AIIMS Nov 1993]

ing except:",Hepatomegaly,Pleural effusion,Thrombocytopenia,Decreased hemoglobin,,,
883,199.   Classical dengue fever is transmitted by:,Aedes mosquito,Anopheles mosquito,Mansonoides mosquito,"Culex mosquito

[Karnataka 2008]
[Recent Question 2013]",,,
884,"200.   Which  of  the  following  statement  is/are  true  about 
[PGI Dec 06]

dengue:",↑ Haematocrit,↓ platelet,#NAME?,Vector Aedes aegypti usually bite during day time,Pleural effusion present,,
885,"201.   Dengue  virus  appears  to  have  a  direct  man­mosquito­
man  cycle  in  India.  The  mechanism  of  dengue  virus 
sur vival in the inter­epidemic period is:  
[DPG 2011]",Non-human reservoir,Dormant or latent phase in man,Transovarian transmission of the virus,Poor housekeeping by the public,,,
886,"202.   True about Dengue fever is/are:  

[PGI May 2011]",Is the most common arboviral infection,Can be both epidemic as well as endemic,Can survive in ambient temperature,Incidence decreasing in India in last 2-3 decades,Vector is Aedes aegypti,,
887,203.   The main vector of Dengue fever is:   [Karnataka 2011],Aedes aegypti,Aedes albopictus,Aedes polynesiensis,Aedes scutellaris,,,
888,205.   All are true about Dengue hemorrhagic fever except:,Lamivudine is drug of choice,Malnutrition is protective,Transmitted by Aedes,"Causative agent belongs to Flaviviradae group

[AIIMS November 2014]",,,
889,"206.   A 20­year­old male is diagnosed as a case of dengue fever  
at a Primary Health Centre. What are the suitable measures  
to be taken for the prevention and control of dengue in 
that area? 
[UPSC CMS 2015]",Case management for DF and DHF and vaccination,"Case  management  for  DF  and  DHF,  isolation  and  

individual protection from mosquitoes","Case  management  for  DF  and  DHF,  isolation  and 
individual protection from mosquitoes and vaccina-
tion","Case  management  for  DF  and  DHF,  isolation  and 
individual protection from mosquitoes and environ-
mental measures for elimination of breeding places 

Review Questions",,,
890,207.   Which is not true about dengue hemorrhagic fever:,Thrmbocytopenia,Hepatomegaly,Shock,"Plasma leaking

[Bihar 2006]",,,
891,"208.   Dengue fever is transmitted by: 

 [AP 1999]  
[JIPMER 1994] [MP 2001] [UP 1997] [AP 2001]",Cluex fatigans,Cluex vishnuii,Aedes aegypti,Glossina palpalis,,,
892,"209.   Infective  period  of  Aedes  mosquito  for  Classical 
Dengue  fever  (break­bone  fever)  is:  [AIIMS  1988] 
[Karnataka  1987]  [MH  1997]  [Manipal  1997]  [SGPGI 
1996] [TN 1993, 1991] [UP 1996] [UPSC 1986] [TN 2000]",10-20 days,20-30 days,30-40 days,Lifelong,,,
893,"210.   Which of the following statement regarding dengue is 
[Kolkata 2004]

correct:",Caused by 3 serotypes of dengue virus,It is endemic in India,Aspirin is used for treatment,"Clinical  course  of  dengue  is  more  fulminant  in 

children than adults

MALARIA",,,
894,"204.   Which is not true of Dengue fever? 

[NUPGET 2013]

 211.  API is: 

[AIIMS May 1993]",Annual parasitic index,Average parasitic index,Animal parasite interval,"Annual parasitic incidence 

mebooksfree.com

301

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
895,"212.   The infective form of malarial parasite through a blood 
[AIIMS June 1997]

transfusion is:",Mefloquine,primaquine,Cloxacilin,Quinine,,,
896,"213.   The drug preferred for chloroquine resistant malaria in 
[AIIMS June 2000]

 214.  In a Chloroquine resistant zone the presumptive treat­
ment of malaria to be given is:[AIIMS May 02, Nov 1999]",Chloroquine + primaquine 45 mg,Chloroquine + pyrimethamine,Sulphalene 1000 mg,Sulphadoxine + pyrimethamine,,,
897,"215.   In high­risk areas the radical treatment for Plasmodium 
vivax infection after microscopic con fir mation is admini-
stration of tablets primaquine in the daily dosage of:  

[AIIMS May 1993]",0.25 mg/kg body weight,0.50 mg/kg body weight,0.75 mg/kg body weight,1.00 mg/kg body weight,,,
898,"216.   The  most  sensitive  index  of  recent  transmission  of 

malaria in a community is: 

[AIIMS Nov 1993, 2003, Feb 1997, AIPGME 1996]
[DPG 2005, MP 2005]
    [MH 2006, JIPMER 1999]",Spleen rate,Infant parasite rate,Annual parasite incidence,Slide positivity rate,,,
899,"217.   Best  indicator  for  malaria  prevalence  in  a  community 
[DPG 2005]

is:",Adult parasite rate,New Cases in a community,Infant parasite rate,Spleen rate,,,
900,"218.   Which of the following is used for radical cure of ma­
 [DPG 2006]

laria?",Stephensi,Culcifacies,Minimus,Fluviatilis,,,
901,"219.   Species  of  Anopheles  transmitting  malaria  is  urban  
[DPG 2007]

 220.  The peaks of fever in malaria coincide with the release 
of successive broods of ……..into the blood stream:",Sporozoites,Trophozoites,Merozoites,Aedes,Culex vishnaui,,
902,"222.   True about epidemiology of malaria: 

[PGI Dec 06]",Extrinsic incubation period 0-14 days,In India common during January to June,Man act as definitive host,Rare in urban areas,Mosquito acts as definitive host,,
903,"223.   Malaria is transmitted by: 

[PGI Dec 07]",Anopheles stephensi,Anopheles dirus,Culex,Phlebotamus,,,
904,"224.    All  of  the  following  factors  are  responsible  for  resur­
[AIPGME 2011]

gence of Malaria except:",Drug resistance,Use of bed-nets,Vector resistance,Mutation in parasite,,,
905,225.   Plasmodium ovale in India has been reported from:,Maharashtra,Madhya Pradesh,Manipur,Gujarat,"Orrisa 

[PGI May 2011]",,
906,226.   True about Malaria in India is/ are:,1.5 million cases annually,"Quinine  drug  of  choice  in  severe  malaria  in 

[PGI November 2012]

pregnancy",Anopheles culicifacies is vector in Urban malaria,Plasmodium ovale is not seen in India,Falciparum malaria is most common type,,
907,"227.   Propylaxis for malaria not used: 

[Recent Question 2013]",Doxycycline,Artesunate,Chloroquine,Mefloquine,,,
908,"228.   Chemoprophylaxis  of  Malaria  can  be  done  by  all 
[Recent Question 2012] [Recent Question 2013]",Chloroquine,Mefloquine,Proguanil,"Primaquine

except:",,,
909,229.   Malaria recrudescence is,Resistant to treatment,Relapse of infection,Relapse in vivax and ovale,"Reappearance of sexual stage parasitemia after treat-

[AIIMS May 2014]

ment",,,
910,"230.   Cycle that is seen in RBCs in malaria

l

i

i

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

i

l

e
b
a
c
n
u
m
m
o
C

 221.  Urban malaria is due to:",Sexual,Sporogony,Exogenous,"Endogenous

[Recent Question 2014]

mebooksfree.com

Review of Preventive and Social Medicine",,,
911,"231.   Throughout the country every year anti­malaria month 

LYMPHATIC FILARIASIS 

is observed during the month of 

[PGMCET 2015] [UP 2005]

 240.  DEC  is  used  extensively  in  the  chemotherapy  of  Fila­",July,January,June,"December

Review Questions",,,
912,"232.   Malarial parasite in India are all except: 

[DNB 2003]",P. vivax,P. falciparum,P. ovale,P. malariae,,,
913,233.   Incubation period of plasmodium vivax is:,5-7 days,7-10 days,10-14 days,"15-30 days

[DNB 2004]
[Recent Question 2012]
[Recent Question 2013]",,,
914,"234.   If API>2, the vector is resistant to DDT, the malathion 
[UP 2006]

spray should be done every:",One round of malathion every month,2 round or malathion every months,1 -2 round of malathion every 3 months,3 round of malathion every 3 months,,,
915,"235.   A  malarial  survey  is  conducted  in  50  villages  having  
a  population  of  1  lakh.  Out  of  20000  slides  examined, 
500 turned out to be malaria positive. The annual para­
site incidence is: 
[Kolkata 2008]",20,5,0.5,0.4,,,
916,236.   What is causative organism for Malaria?,Plasmodium,Anopheles,Culex,"Yersinia

[MP 2006]",,,
917,"237.   Goal  of  reduction  in  morbidity  and  mortality  due  to 
[MP 2009]

riasis. It is most effective against:",Microfilariae,Adult worm,Infective stage larvae,"All of the above

[AIIMS May 1993]",,,
918,"241.   The organism most commonly causing genital filariasis 

in most parts of Bihar and Eastern U.P. is:",Wuchereria bancrofti,Brugia malayi,Onchocerca volvulus,Dirofilaria,,,
919,"242.   The  currently  given  regimen  for  Bancroftian  filariasis 
[AIPGME 1991]

is:",DEC – 6 mg/ Kg / day × 21 days,DEC – 6 mg/ Kg / day × 12 days,DEC – 100 mg/ day × 21 days,DEC – 100 mg/ day × 12 days,,,
920,243.   The vector for transmission of Bancroftian filaria is:,Culex fatigans,Aedes aegypti,Mansonoides annulifers,"Anopheles stephensi

[Karnataka 2005]",,,
921,"244.   The DEC­medicated salt for mass treatment in lympha­
tic filariasis was shown to be safe, cheap and effective 
in:  
[Karnataka 2008]",Goa,Daman and Diu,Andaman and Nicobar islands,Lakshadweep islands,,,
922,"245.   All of the following are helpful for elimination of fila­
[AIIMS PGMEE May 2012]

riasis, except:",Microfilariae do not multiply in vectors,They multiply in humans,"Larvae  are  deposited  on  skin  surface  where  they 

can’t survive",Mass drug administration,,,
923,"246.   All of the following are true about filariasis except:  

[DNB December 2011]

[MH 2000]",25% reduction,50% reduction,75% reduction,100% reduction,,,
924,238.   Malaria is transmitted by:,Female anopheles mosquito,Male anopheles mosquito,Culex mosquito,Aedes mosquito,,,
925,"239.   Among various species of mosquitoes belonging to ano­
pheles genus, one that is highly anthrophilic and trans­
mits even at low density is: 
[MH 2003]",Anopheles sundicans,Anopheles fluvitalis,Anopheles stephensi,"Anopheles culicifacies

Review Questions",,,
926,247.   Life cycle of filarial in the mosquito is described as:,Cyclopropagative,Cyclodevelopmental,Propagative,"None

[AP 2005]

303

mebooksfree.com

Communicable and Non-communicable DiseasesCommunicable and Non-communicable Diseases",,,
927,"248.   The Clinical incubation period of Filariasis is:  

 257.  Characteristic features of Rabies include all except:  

[TN 2003]

[NUPGET 2013]

 249.  Target year for elimination of lymphatic filariasis:",Can manifest as ascending paralysis,Hematogenous spread to brain,Can be transmitted by bites other than dogs also,"In invariably fatal

[Kolkata 2008]",,,
928,"258.   Schedule of intradermal rabies vaccine is? 

[Recent Question 2013]",2010,2015,2020,"2012

RABIES 

i

l

i

s
e
s
a
e
s
D
e
b
a
c
n
u
m
m
o
c
-
n
o
N
d
n
a

l

i

e
b
a
c
n
u
m
m
o
C",,,
